begin,end
00010340,00010350
00010435,00010474
00010740,00010783
00010150,00010515
00010014,00010054
00010586,00010930
00010499,00010603
00010066,00010551
00010223,00010733
00000492,00010039
00010485,00010601
00000594,00000728
00000156,00010805
00000575,00010900
00010321,00010577
00000147,00000156
00000796,00010900
00010150,00010812
00000123,00010046
00010748,00010772
00010152,00010995
00000399,00010269
00010265,00010725
00000350,00010942
00010177,00010620
00010028,00010244
00010777,00010976
00000490,00010735
00000497,00010468
00010791,00010888
00010567,00010581
00010770,00010849
00010469,00010694
00000703,00010728
00010413,00010442
00010841,00010892
00010032,00010900
00000869,00010451
00000666,00010966
00000123,00010776
00010417,00010582
00010721,00010891
00010058,00010633
00000457,00010012
00000548,00010330
00010513,00010900
00010767,00010977
00000649,00010236
00000666,00010394
00000497,00010551
00000679,00010454
00010656,00010933
00000759,00000997
00000727,00000729
00010642,00010914
00010011,00010598
00000730,00000974
00000480,00010051
00000647,00010709
00010082,00010313
00010292,00010787
00010281,00010526
00000497,00010170
00010319,00010884
00010395,00010819
00010239,00010566
00010529,00010754
00010289,00010771
00010004,00010935
00000212,00010766
00010524,00010668
00010064,00010539
00000301,00000376
00000886,00010714
00010044,00010698
00010016,00010598
00010273,00010599
00010005,00010914
00010138,00010584
00010379,00010684
00010228,00010346
00010264,00010558
00000598,00000858
00010520,00010567
00000147,00010938
00010240,00010318
00010019,00010070
00010244,00010302
00000286,00000906
00010135,00010829
00000197,00010605
00010036,00010232
00010377,00010381
00010813,00010885
00000147,00010700
00000648,00011024
00010315,00010402
00010028,00010303
00000535,00000728
00010240,00010497
00000591,00010913
00010578,00010786
00000301,00010773
00010531,00010827
00010766,00010956
00010191,00010321
00010203,00010353
00010082,00010131
00000291,00000995
00000497,00010216
00000684,00010368
00010003,00010497
00010086,00010989
00010275,00010317
00010544,00010833
00010005,00010572
00010004,00010528
00000153,00010350
00000914,00010175
00000237,00010607
00010438,00010608
00000869,00010452
00000469,00010985
00010374,00010431
00010033,00010051
00000727,00010975
00010005,00010836
00010246,00010855
00010051,00010979
00000378,00011001
00000575,00010016
00010082,00010381
00010099,00010109
00000380,00010865
00010094,00010223
00010767,00011018
00000200,00000269
00010442,00010950
00010067,00010308
00010037,00010049
00010414,00010892
00010411,00010528
00000157,00010834
00000135,00010356
00010041,00010042
00010582,00010953
00010838,00010942
00000436,00010316
00000162,00010996
00010366,00010594
00010140,00010555
00010420,00010489
00010264,00010810
00000759,00010848
00010571,00010821
00010005,00010483
00010231,00010304
00010813,00010826
00000459,00010956
00000547,00010314
00010162,00010764
00000575,00010005
00000153,00010906
00010198,00010375
00010077,00010375
00000453,00010816
00010170,00010316
00010219,00010443
00010010,00010725
00000435,00010339
00010161,00010607
00010192,00010731
00010313,00010553
00010398,00010452
00000596,00000722
00000407,00010413
00000161,00000760
00000212,00010977
00010005,00010027
00000565,00010143
00010086,00010577
00010171,00010598
00010755,00010776
00010416,00010892
00000309,00010181
00010373,00010435
00010014,00010037
00000973,00010811
00010340,00010784
00010542,00011033
00010753,00011018
00010531,00010841
00010357,00011000
00010060,00010104
00010127,00010880
00010552,00010950
00010011,00010023
00000765,00011013
00010043,00010625
00010088,00010641
00000480,00010442
00010362,00010781
00000200,00010029
00010402,00010902
00010041,00010056
00010285,00010403
00010049,00010173
00010484,00010764
00010271,00010646
00000151,00010159
00000721,00010798
00010095,00010780
00010419,00010668
00010450,00010488
00010024,00010057
00010310,00010929
00010073,00010140
00010062,00010413
00000519,00010443
00000706,00010150
00000721,00010855
00010056,00010851
00010583,00010716
00010155,00010480
00010175,00010316
00010421,00010582
00010438,00010950
00010221,00010989
00010046,00010161
00010189,00010391
00010227,00010855
00010532,00010668
00010555,00010981
00000383,00011030
